web-scraper-order,web-scraper-start-url,game,game-href,followers,twitch-viewers-24-hours,twitch-viewers-all-time,owner-estimations-vg,owner-estimations-SteamSpy,owner-estimations-PlayTracker,Month,Peak,Gain,Gain-pct,Average,Avg-Gain-pct,user-reviews
1751940014-1,https://steamdb.info/charts/?sort=peak,Sultan's Game,https://steamdb.info/app/3117820/charts/,"55,412",117,"13,662",~491.3 k,~719.2 k,~1.01 M,June 2025,"16,432","-5,100",-23.70%,"5,242",-36.30%,😍 92.50%
1751940020-2,https://steamdb.info/charts/?sort=peak,HoloCure - Save the Fans!,https://steamdb.info/app/2420510/charts/,"34,146",52,"26,519",~917.3 k,~1.15 M,~1.89 M,June 2025,"1,123",-173,-13.30%,694,-14.00%,🤩 96.99%
1751940026-3,https://steamdb.info/charts/?sort=peak,Like a Dragon: Infinite Wealth,https://steamdb.info/app/2072450/charts/,"48,734",324,"76,294",~500.1 k,~600.0 k,~605.2 k,June 2025,"1,720",-458,-21.00%,760,-27.10%,😎 89.46%
1751940031-4,https://steamdb.info/charts/?sort=peak,Call of Duty®: Modern Warfare® 3 (2011),https://steamdb.info/app/42680/charts/,"74,209",~3.61 M,~4.09 M,"74,209",259,412,June 2025,536,+70,+15.0%,286,+16.7%,
1751940037-5,https://steamdb.info/charts/?sort=peak,Core Keeper,https://steamdb.info/app/1621690/charts/,"156,996","1,172","54,513",~1.69 M,~2.98 M,~3.42 M,June 2025,"8,223",+305,+3.9%,"3,549",-10.30%,😍 91.26%
1751940043-6,https://steamdb.info/charts/?sort=peak,STAR WARS Jedi: Fallen Order™,https://steamdb.info/app/1172380/charts/,"205,951",219,"200,398",~4.28 M,~4.80 M,~5.97 M,June 2025,"3,535","-1,252",-26.20%,"1,559",-24.10%,😎 87.54%
1751940049-7,https://steamdb.info/charts/?sort=peak,MY HERO ULTRA RUMBLE,https://steamdb.info/app/1607250/charts/,"35,561",436,"111,716",~614.1 k,~1.93 M,~2.35 M,June 2025,"3,191","-1,406",-30.60%,"2,081",-7.50%,😌 65.60%
1751940054-8,https://steamdb.info/charts/?sort=peak,Scrap Mechanic,https://steamdb.info/app/387990/charts/,"321,782",33,"114,269",~2.32 M,~3.43 M,~3.48 M,June 2025,"2,427",+66,+2.8%,"1,219",+4.9%,😍 90.95%
1751940060-9,https://steamdb.info/charts/?sort=peak,NBA 2K22,https://steamdb.info/app/1644960/charts/,"44,354",10,"200,894","44,354",260,644,June 2025,791,-20,-2.50%,425,-6.40%,😐 57.21%
1751940066-10,https://steamdb.info/charts/?sort=peak,Pathfinder: Wrath of the Righteous - Enhanced Edition,https://steamdb.info/app/1184370/charts/,"121,121",97,"48,329",~1.17 M,~1.61 M,~2.39 M,June 2025,"3,677",-426,-10.40%,"2,167",-8.40%,😎 82.50%
1751940072-11,https://steamdb.info/charts/?sort=peak,Soulmask,https://steamdb.info/app/2646460/charts/,"108,625",107,"44,887",~462.6 k,~470.0 k,~561.6 k,June 2025,"7,528","+3,799",+101.9%,"3,493",+71.4%,😏 78.87%
1751940078-12,https://steamdb.info/charts/?sort=peak,SUPER PEOPLE 2,https://steamdb.info/app/1190340/charts/,"172,261",2,"142,277","172,261",0,4,June 2025,2,-1,-33.30%,1,+0.0%,😐 55.86%
1751940084-13,https://steamdb.info/charts/?sort=peak,Nightingale,https://steamdb.info/app/1928980/charts/,"178,134",40,"264,240",~494.2 k,~505.4 k,~558.0 k,June 2025,474,-138,-22.50%,198,-25.80%,😌 67.03%
1751940090-14,https://steamdb.info/charts/?sort=peak,Myth of Empires,https://steamdb.info/app/1371580/charts/,"111,600",11,"32,294",~493.4 k,~507.1 k,~517.0 k,June 2025,"2,956","-2,571",-46.50%,"1,734",-43.50%,😌 66.97%
1751940096-15,https://steamdb.info/charts/?sort=peak,Mafia III: Definitive Edition,https://steamdb.info/app/360430/charts/,"185,421",62,"79,661",~1.46 M,~1.60 M,~2.38 M,June 2025,"2,188",-436,-16.60%,952,-17.60%,😐 56.83%
